policy_id,insured_id,gender,birth_year,issue_age,issue_date,issue_year,valuation_date,valuation_year,product_type,policy_term,policy_duration,face_amount,annual_premium,payment_mode,smoking_status,risk_class,policy_status,account_value,claim_flag
P000001,I00001,F,1959,51,2010-11-24,2010,2026-12-31,2026,Term Life,20,16,2200000,15000,Semiannual,Non-Smoker,Standard,Inforce,0,0
P000002,I00002,F,1973,46,2019-02-27,2019,2026-12-31,2026,Term Life,20,7,3000000,19100,Annual,Non-Smoker,Standard,Inforce,0,0
P000003,I00002,F,1973,50,2023-01-13,2023,2026-12-31,2026,Universal Life,40,3,600000,10700,Annual,Non-Smoker,Standard,Inforce,11900,0
P000004,I00002,F,1973,50,2023-05-21,2023,2026-12-31,2026,Term Life,30,3,1100000,7500,Semiannual,Non-Smoker,Standard,Lapsed,0,0
P000005,I00003,M,1988,23,2011-05-06,2011,2026-12-31,2026,Term Life,30,15,2000000,9600,Quarterly,Non-Smoker,Standard,Lapsed,0,0
P000006,I00003,M,1988,28,2016-04-24,2016,2026-12-31,2026,Whole Life,99,10,1100000,18600,Quarterly,Non-Smoker,Standard,Inforce,99300,0
P000007,I00004,M,1964,58,2022-03-13,2022,2026-12-31,2026,Universal Life,30,4,1800000,58600,Annual,Smoker,Preferred,Inforce,159700,0
P000008,I00005,F,1979,45,2024-02-22,2024,2026-12-31,2026,Term Life,20,2,3400000,22600,Quarterly,Non-Smoker,Standard,Inforce,0,0
P000009,I00006,M,1956,64,2020-12-12,2020,2026-12-31,2026,Whole Life,99,6,1600000,55500,Monthly,Non-Smoker,Standard,Inforce,128400,0
P000010,I00007,M,1965,56,2021-10-07,2021,2026-12-31,2026,Whole Life,99,5,1600000,77200,Monthly,Smoker,Standard,Inforce,131200,0
P000011,I00008,M,1985,34,2019-02-14,2019,2026-12-31,2026,Universal Life,30,7,3900000,46000,Monthly,Non-Smoker,Preferred,Inforce,200000,0
P000012,I00008,M,1985,35,2020-10-29,2020,2026-12-31,2026,Term Life,20,6,2100000,8900,Monthly,Non-Smoker,Preferred,Inforce,0,0
P000013,I00009,F,1969,41,2010-08-05,2010,2026-12-31,2026,Term Life,10,10,3400000,19600,Quarterly,Non-Smoker,Standard,Inforce,0,0
P000014,I00010,M,1963,62,2025-01-17,2025,2026-12-31,2026,Term Life,20,1,700000,5500,Annual,Non-Smoker,Standard,Inforce,0,0
P000015,I00011,F,1977,36,2013-01-16,2013,2026-12-31,2026,Universal Life,50,13,2600000,39600,Monthly,Non-Smoker,Standard,Inforce,223300,0
P000016,I00012,F,1973,47,2020-02-17,2020,2026-12-31,2026,Term Life,10,6,4700000,38500,Annual,Non-Smoker,Substandard,Lapsed,0,0
P000017,I00012,F,1973,45,2018-04-22,2018,2026-12-31,2026,Term Life,15,8,1400000,13300,Annual,Non-Smoker,Substandard,Inforce,0,0
P000018,I00012,F,1973,46,2019-04-30,2019,2026-12-31,2026,Term Life,30,7,2500000,22400,Semiannual,Non-Smoker,Substandard,Inforce,0,0
P000019,I00013,F,1963,62,2025-09-16,2025,2026-12-31,2026,Universal Life,99,1,9400000,168400,Annual,Non-Smoker,Preferred,Inforce,129500,0
P000020,I00013,F,1963,60,2023-11-05,2023,2026-12-31,2026,Whole Life,99,3,800000,19300,Annual,Non-Smoker,Preferred,Inforce,25300,0
P000021,I00014,F,1989,25,2014-01-14,2014,2026-12-31,2026,Whole Life,99,12,1400000,45100,Annual,Smoker,Standard,Inforce,165200,0
P000022,I00015,F,1975,47,2022-10-15,2022,2026-12-31,2026,Term Life,30,4,3400000,23200,Annual,Non-Smoker,Standard,Lapsed,0,0
P000023,I00016,F,1963,54,2017-04-12,2017,2026-12-31,2026,Term Life,10,9,3000000,18700,Semiannual,Non-Smoker,Standard,Inforce,0,0
P000024,I00017,M,1982,43,2025-11-29,2025,2026-12-31,2026,Whole Life,99,1,3700000,108500,Annual,Non-Smoker,Substandard,Inforce,40400,0
P000025,I00018,F,2000,20,2020-12-25,2020,2026-12-31,2026,Term Life,20,6,2200000,10600,Annual,Non-Smoker,Standard,Lapsed,0,0
P000026,I00018,F,2000,18,2018-10-07,2018,2026-12-31,2026,Whole Life,99,8,2400000,44400,Monthly,Non-Smoker,Standard,Inforce,130300,0
P000027,I00019,M,1961,60,2021-08-03,2021,2026-12-31,2026,Term Life,15,5,1400000,8100,Annual,Non-Smoker,Preferred,Surrendered,0,0
P000028,I00019,M,1961,61,2022-04-23,2022,2026-12-31,2026,Universal Life,99,4,1400000,23600,Quarterly,Non-Smoker,Preferred,Lapsed,57900,0
P000029,I00020,M,1970,47,2017-08-18,2017,2026-12-31,2026,Whole Life,99,9,3500000,103000,Annual,Non-Smoker,Standard,Inforce,508100,0
P000030,I00021,M,1970,47,2017-10-29,2017,2026-12-31,2026,Whole Life,99,9,1900000,36100,Monthly,Non-Smoker,Preferred,Inforce,171500,0
P000031,I00022,F,1987,35,2022-05-23,2022,2026-12-31,2026,Term Life,20,4,1500000,8000,Annual,Non-Smoker,Standard,Inforce,0,0
P000032,I00023,M,1958,62,2020-01-04,2020,2026-12-31,2026,Whole Life,99,6,2800000,77300,Quarterly,Non-Smoker,Standard,Inforce,233800,0
P000033,I00024,F,1958,57,2015-03-23,2015,2026-12-31,2026,Term Life,15,11,4300000,29600,Annual,Non-Smoker,Standard,Lapsed,0,0
P000034,I00025,F,1993,23,2016-12-23,2016,2026-12-31,2026,Term Life,20,10,4900000,20700,Annual,Non-Smoker,Preferred,Inforce,0,0
P000035,I00026,F,1994,24,2018-08-05,2018,2026-12-31,2026,Universal Life,30,8,3200000,34900,Quarterly,Non-Smoker,Preferred,Inforce,175200,0
P000036,I00026,F,1994,26,2020-06-23,2020,2026-12-31,2026,Term Life,15,6,3100000,11200,Semiannual,Non-Smoker,Preferred,Inforce,0,0
P000037,I00027,F,1971,51,2022-05-23,2022,2026-12-31,2026,Term Life,15,4,1500000,14000,Annual,Non-Smoker,Substandard,Inforce,0,0
P000038,I00028,F,1991,29,2020-03-20,2020,2026-12-31,2026,Universal Life,50,6,3700000,47600,Annual,Non-Smoker,Standard,Inforce,234300,0
P000039,I00029,F,1993,20,2013-04-21,2013,2026-12-31,2026,Whole Life,99,13,2000000,66700,Annual,Smoker,Standard,Surrendered,301600,0
